timestamp,order_id,instrument,side,type,quantity,price,action
1617278400000000000,1,AAPL,BUY,LIMIT,300,150.25,NEW
1617278400000000100,2,AAPL,SELL,LIMIT,50,150.25,NEW
1617278400000000200,3,AAPL,SELL,LIMIT,60,150.25,NEW
1617278400000000300,1,AAPL,SELL,LIMIT,20,150.25,MODIFY
1617278400000000300,5,AAPL,BUY,LIMIT,200,150.25,NEW
1617278400000000300,5,AAPL,BUY,LIMIT,200,150.25,CANCEL
1617278400000000300,6,AAPL,SELL,MARKET,100,150.25,NEW
1617278400000000400,7,AAPL,BUY,MARKET,100,150.25,NEW
1617278400000000300,9,AAPL,SELL,LIMIT,100,150.25,NEW
1617278400000000500,8,AAPL,SELL,LIMIT,60,150.25,NEW
